source,destiny,weight
teapartypatriots,washingtontimes,8
teapartypatriots,dailywire,2
teapartypatriots,foxnews,10
teapartypatriots,nytimes,20
teapartypatriots,townhall,3
teapartypatriots,tampabay,5
teapartypatriots,wsj,10
teapartypatriots,nationalreview,9
teapartypatriots,reason,2
teapartypatriots,dailysignal,6
teapartypatriots,dailycaller,7
teapartypatriots,nbcnews,2
teapartypatriots,washingtonpost,38
teapartypatriots,vanityfair,1
teapartypatriots,usatoday,3
teapartypatriots,whitehouse,1
teapartypatriots,ohio,1
teapartypatriots,americansforprosperity,2
teapartypatriots,washingtonexaminer,12
teapartypatriots,cnn,7
teapartypatriots,commdiginews,1
teapartypatriots,thefederalist,5
teapartypatriots,latimes,1
teapartypatriots,morningconsult,2
teapartypatriots,theguardian,1
teapartypatriots,huffpost,5
teapartypatriots,sfchronicle,1
teapartypatriots,sltrib,1
teapartypatriots,fortune,1
teapartypatriots,thinkprogress,1
teapartypatriots,reviewjournal,1
teapartypatriots,wvgazettemail,1
teapartypatriots,fivethirtyeight,1
teapartypatriots,theblaze,2
teapartypatriots,conservativereview,1
teapartypatriots,checkyourfact,1
teapartypatriots,theatlantic,1
teapartypatriots,hotair,2
teapartypatriots,spectator,1
teapartypatriots,americanthinker,2
patriotpost,foxnews,12
patriotpost,nbcnews,2
patriotpost,dailysignal,2
patriotpost,huffpost,2
patriotpost,freebeacon,10
patriotpost,nationalreview,14
patriotpost,startribune,2
patriotpost,powerlineblog,8
patriotpost,hotair,2
patriotpost,theblaze,3
patriotpost,nypost,10
patriotpost,thedailybeast,3
patriotpost,cnn,3
patriotpost,nytimes,6
patriotpost,washingtonexaminer,10
patriotpost,dailywire,4
patriotpost,newyorker,2
patriotpost,bbc,4
patriotpost,thefederalist,4
patriotpost,bostonglobe,2
patriotpost,washingtonpost,10
patriotpost,rollingstone,2
patriotpost,forbes,2
patriotpost,forward,2
patriotpost,mondoweiss,4
patriotpost,theatlantic,2
patriotpost,newsbusters,2
patriotpost,dailycaller,4
patriotpost,cbsnews,2
roanoke,pe,2
roanoke,dailypress,1
roanoke,adn,2
lbc,sky,36
hollywoodreporter,cnn,1
hollywoodreporter,stuff,1
hollywoodreporter,theguardian,1
people,nytimes,44
people,washingtonpost,20
people,usatoday,5
people,esquire,2
people,cbsnews,9
people,thetimes,1
people,theguardian,3
people,cnn,39
people,vanityfair,6
people,nbcnews,5
people,realclearpolitics,2
people,npr,5
people,nydailynews,4
people,washingtonexaminer,2
people,hollywoodreporter,1
people,nypost,9
people,foxnews,3
people,pbs,2
people,vox,1
people,time,5
people,latimes,1
people,dispatch,1
people,bostonglobe,1
people,bbc,1
people,huffpost,3
people,thesun,2
people,standard,1
people,nymag,1
people,ajc,4
people,whitehouse,4
people,advocate,1
people,cosmopolitan,1
people,forbes,1
people,newyorker,1
people,conservativereview,1
people,theatlantic,1
people,wsj,1
thefederalist,cnn,7
thefederalist,nypost,2
thefederalist,legalinsurrection,4
thefederalist,vox,4
thefederalist,washingtonpost,22
thefederalist,usatoday,8
thefederalist,mercurynews,2
thefederalist,ajc,9
thefederalist,nytimes,36
thefederalist,washingtonexaminer,7
thefederalist,forbes,2
thefederalist,dailycaller,6
thefederalist,latimes,2
thefederalist,wsj,7
thefederalist,npr,5
thefederalist,nationalreview,7
thefederalist,nbcnews,4
thefederalist,theamericanconservative,3
thefederalist,detroitnews,1
thefederalist,cnbc,5
thefederalist,bbc,5
thefederalist,theatlantic,4
thefederalist,rewire,1
thefederalist,time,3
thefederalist,twitchy,1
